id_osm,nom,latitude,longitude,type,operator,capacity,levels,source
4295482538,EPP Caistab 2,5.32031,-4.1053596,school,Inconnu,,,OpenStreetMap
4295504429,Lycée Municipal Pierre Gadier,5.3265005,-4.0725642,school,Inconnu,,,OpenStreetMap
4314450182,Collège moderne Dorian,5.3188786,-4.0631395,school,Inconnu,,,OpenStreetMap
4331386902,Collège Jeanne de Cavally,5.3610846,-4.0665642,school,Inconnu,,,OpenStreetMap
4346043373,Groupe scolaire Sylla l’exellence,5.3291494,-4.1027884,school,Ministère de l’éducation nationale et de l’enseignement technique,,,OpenStreetMap
4368676195,ISG YOH,5.396803,-3.985946,school,Inconnu,,,OpenStreetMap
4374133489,EST LOKO,5.3084136,-3.9921555,school,Inconnu,,,OpenStreetMap
4379452257,École sans nom,5.3144045,-4.0871134,school,Inconnu,,,OpenStreetMap
4383602225,Collège Saint Chalmel,5.3232023,-4.1026746,school,Inconnu,,,OpenStreetMap
4385223842,Institut des Technologies d'Abidjan,5.2955698,-3.979802,college,Inconnu,,,OpenStreetMap
4385486311,École Supérieure Africaine des Technologies de l'Information de la Communication,5.2906335,-3.9987569,college,Inconnu,,,OpenStreetMap
4385670403,École de Spécialités Multimedia d'Abidjan,5.2996787,-3.9872444,college,Inconnu,,,OpenStreetMap
4394661065,École Nouvelle Supérieure d'Ingénieurs et de Technologie,5.3632161,-3.9977265,college,Groupe Farandole Internationale,,,OpenStreetMap
4404306512,École Supérieure de Commerce Castaing,5.3200755,-4.0113891,college,Inconnu,,,OpenStreetMap
4404522197,Institut de Formation Professionnelle et Générale - Institut Supérieur de Formation Professionnelle et Technique,5.3261949,-4.0254236,college,Inconnu,,,OpenStreetMap
4404574076,Pigier Côte d'Ivoire,5.3254276,-4.0202633,college,Inconnu,,,OpenStreetMap
4405015189,École Pratique de la Chambre de Commerce et d'Industrie,5.3189504,-4.0182931,college,Inconnu,,,OpenStreetMap
4407248378,lvf Formation,5.3394409,-4.0006249,school,Inconnu,,,OpenStreetMap
4410618631,Groupe Ecoles d'Ingénieurs Agitel-Formation,5.3643399,-3.9559462,college,Inconnu,,,OpenStreetMap
4411128299,Hautes Etudes Commerciales d'Abidjan,5.3491483,-3.9959555,college,Inconnu,,,OpenStreetMap
4411158940,Groupe Ecole des Hautes Etudes Commerciales-Abidjan,5.3480376,-3.9981306,college,Inconnu,,,OpenStreetMap
4411512439,École Nationale Supérieure de Statistique et d'Economie Appliquée,5.3491152,-3.9890944,college,"L'Etat de Côte d'Ivoire, UEMOA, BAD",,,OpenStreetMap
4411562347,GS Jean Paul II,5.3472075,-4.0635738,school,Inconnu,,,OpenStreetMap
4411562363,Lycée Saguidiba,5.3271412,-4.0912815,school,Inconnu,,,OpenStreetMap
4411568179,Institut National des Aveugles,5.3525131,-4.0619248,school,Inconnu,,,OpenStreetMap
4411925716,Groupe Cefiat,5.3175037,-4.0171109,college,Inconnu,,,OpenStreetMap
4412012957,Institut Supérieur de Formation des Opticiens,5.3183391,-4.0193708,college,Inconnu,,,OpenStreetMap
4426157410,École Supérieure de Commerce Castaing,5.3200671,-4.0128756,college,Inconnu,,,OpenStreetMap
4428007994,EPV Marie Paul,5.3194821,-4.0630725,school,Inconnu,,,OpenStreetMap
4445392578,All Nations International School,5.3604748,-3.9925775,school,Inconnu,,,OpenStreetMap
4449390313,Collège Sôna,5.3311053,-4.0616736,school,Inconnu,,,OpenStreetMap
4455435810,Collège Merajea,5.3259228,-4.0758889,school,Inconnu,,,OpenStreetMap
4466531691,Cafop Groupe scolaire RAN,5.3252298,-4.0253739,school,Inconnu,,,OpenStreetMap
4484216289,Les Ateliers de Patricia,5.2869192,-3.9778532,kindergarten,Inconnu,,,OpenStreetMap
4485187396,Institut d’enseignement général et scientifique As Pouchkine,5.4502305,-4.0110704,school,Inconnu,,,OpenStreetMap
4485187398,Groupe Scolaire Le nid des colombes,5.4450218,-4.0146163,school,Inconnu,,,OpenStreetMap
4485187399,École confessionnelle islamique An nour,5.4384917,-4.0338196,school,Inconnu,,,OpenStreetMap
4485187401,Groupe scolaire Sainte Ruth,5.4380466,-4.0288427,school,Inconnu,,,OpenStreetMap
4485187404,EPC Al Manarat Islamiyat,5.4295521,-4.0237391,school,Inconnu,,,OpenStreetMap
4485202194,Collège Iris 2,5.4332797,-4.0260518,school,Inconnu,,,OpenStreetMap
4485218891,Collège confessionnel islamique Fah Doumbia,5.4420858,-4.014124,school,Inconnu,,,OpenStreetMap
4485222092,Collège éducation Paix Développement,5.4506926,-4.0109761,school,Inconnu,,,OpenStreetMap
4485222093,Collège Chris le Roi,5.4459904,-4.0142022,school,Inconnu,,,OpenStreetMap
4485222691,Groupe Scolaire Male Gbinde Akeikoi extension,5.4518296,-4.0073483,school,Inconnu,,,OpenStreetMap
4505713790,Groupe Scolaire Winner Grâce Faveur,5.4081908,-3.9865227,school,Inconnu,,,OpenStreetMap
4505846689,Sup'Management Côte d'Ivoire,5.3553951,-3.9919271,school,Inconnu,,,OpenStreetMap
4512175543,Centre National de Recherche Agronomique,5.3302242,-4.1310465,school,Inconnu,,,OpenStreetMap
4520590163,Groupe Scolaire BAD LEM,5.3318894,-4.0761155,school,Inconnu,,,OpenStreetMap
4520949560,Institut scolaire Saint Cyrille,5.3406737,-4.0883669,school,Inconnu,,,OpenStreetMap
4528338092,École primaire publique Zinsou,5.3687361,-3.9771626,school,Inconnu,,,OpenStreetMap
4545131332,Groupe Scolaire International Safak,5.3522379,-4.0064303,school,Inconnu,,,OpenStreetMap
4545131333,Epp Camp Agban A-B-C,5.3630401,-4.0136964,school,Inconnu,,,OpenStreetMap
4545131334,Epp Ouattara Thomas d'Aquin 1-2,5.3616808,-4.0088879,school,Inconnu,,,OpenStreetMap
4545140263,Epp les perles 1 et 2,5.3919712,-3.9964565,school,Inconnu,,,OpenStreetMap
4545141224,Groupe Scolaire Shalom,5.3692676,-4.0078566,school,Inconnu,,,OpenStreetMap
4545168902,Groupe Scolaire les coteaux Riviera 2,5.3582942,-3.9565803,school,Inconnu,,,OpenStreetMap
4545182388,Groupe Scolaire Avicennes,5.3729928,-3.9582832,school,Inconnu,,,OpenStreetMap
4545182589,Groupe Scolaire Attoban,5.3704065,-3.9820858,school,Inconnu,,,OpenStreetMap
4545201908,Groupe Scolaire Star 3,5.3933878,-3.9933739,school,Inconnu,,,OpenStreetMap
4545255305,Epp Djibi 3,5.4058428,-3.977841,school,Inconnu,,,OpenStreetMap
4545255306,Groupe Scolaire Horokia,5.4116359,-3.9869398,school,Inconnu,,,OpenStreetMap
4545255307,Institut Scolaire Lavoisier,5.4162047,-3.9798272,school,Inconnu,,,OpenStreetMap
4545278655,Epp Danga,5.3388459,-4.0069634,school,Inconnu,,,OpenStreetMap
4545284515,École Normale Supérieure,5.342622,-3.9852671,school,Inconnu,,,OpenStreetMap
4545284516,Epp Blokoss 2,5.3229163,-4.0037046,school,Inconnu,,,OpenStreetMap
4545284517,Epp Blokoss 1,5.3231788,-4.0036562,school,Inconnu,,,OpenStreetMap
4545284519,Groupe Scolaire 2 plateaux Sud 1 et 2,5.349695,-4.0067086,school,Inconnu,,,OpenStreetMap
4545316922,Epp K. Oestrem,5.3481515,-3.9552071,school,Inconnu,,,OpenStreetMap
4545316925,Groupe Scolaire Riviera Golf 1,5.3410318,-3.9773951,school,Inconnu,,,OpenStreetMap
4545325663,École Catholique Sainte Famille,5.3541034,-3.9688976,school,Inconnu,,,OpenStreetMap
4545325664,Groupe Soclaire Akouedo Camp Militaire,5.3537402,-3.9449427,school,Inconnu,,,OpenStreetMap
4545336930,Epp Canevas,5.3691181,-3.9596915,school,Inconnu,,,OpenStreetMap
4545336931,Epp Hibamax,5.3674171,-3.9633573,school,Inconnu,,,OpenStreetMap
